id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2509865657,30,2,1,1,37,z1wbqtd0fz5t5eezjvrbld3h,1,57.4,15.9,2023-02-19T14:01:43.639Z,2023-02-19T22:55:14Z,4043543877,7,dw9fzixumboknmucqgqffurmy,4043543567,140,73.1,4043543565,56,Center,4044946023,178,,4043543569,141,33.8,,,,,,,,,,bamobogg0wjnxd43nxunt3h4a,W. Omari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510044015,767,55,1,1,37,17o35s8assv3kamxowzz77k4r,1,28.2,75.2,2023-02-19T14:01:43.640Z,2023-02-19T22:55:13Z,,,,,,,,,,,,,,,,,,,,,,,,,5rd9832gct7uy0acodmor8b11,F. Ogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509865709,12,43,1,1,37,17o35s8assv3kamxowzz77k4r,1,0,0,2023-02-19T14:01:44.093Z,2023-02-19T17:24:22Z,4044469163,144,55,,,,,,,,,,,,,,,,,,,,,,5rd9832gct7uy0acodmor8b11,F. Ogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510043663,766,43,1,1,37,17o35s8assv3kamxowzz77k4r,1,0,0,2023-02-19T14:01:44.266Z,2023-02-19T17:25:07Z,4044471571,144,55,,,,,,,,,,,,,,,,,,,,,,1u990wv0bo82xqv2s0e8m8ic5,M. Wieteska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509865659,31,43,1,1,41,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2023-02-19T14:01:47.819Z,2023-02-19T14:01:51Z,4043543819,144,39,4043543593,56,Center,4043543591,18,0,4043543599,250,0,4043543589,22,0,,,,,,,,,,dw9fzixumboknmucqgqffurmy,A. Kalimuendo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509866125,13,1,1,2,10,17o35s8assv3kamxowzz77k4r,1,21.2,74.5,2023-02-19T14:02:17.236Z,2023-02-19T22:55:13Z,4043545785,213,0.2,4043545773,155,,4043545781,141,91.2,4043547833,1,,4043545775,241,,4043545783,212,57.0,4043545771,5,,4044946255,178,,c6u4h9wy88ymj6whiz93jknv9,M. Diaw,4043545777,56,Left,4043545779,140,74.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509866153,14,44,1,2,13,17o35s8assv3kamxowzz77k4r,1,62.7,95.7,2023-02-19T14:02:20.108Z,2023-02-19T22:55:12Z,4043545939,233,32,4043545937,286,,4043545935,56,Left,,,,,,,,,,,,,,,,237j1qagaotsy5j9wo3xqfgtl,Neto Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509866145,32,44,1,2,13,z1wbqtd0fz5t5eezjvrbld3h,0,37.3,4.3,2023-02-19T14:02:20.109Z,2023-02-19T22:55:12Z,4043545891,285,,4043545889,56,Back,4043545965,233,14,,,,,,,,,,,,,,,,draibw1vui84ciizu30az81jp,B. Bourigeaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509866173,15,1,1,2,13,17o35s8assv3kamxowzz77k4r,0,62.7,95.3,2023-02-19T14:02:20.194Z,2023-02-19T22:55:12Z,4043546023,56,Left,4043546031,213,6.1,4044946613,388,,4043546025,140,78.3,4043546021,168,,4043546019,3,,4043546027,141,91.1,4043546029,212,16.6,237j1qagaotsy5j9wo3xqfgtl,Neto Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509866165,33,49,1,2,14,z1wbqtd0fz5t5eezjvrbld3h,1,33.9,2.1,2023-02-19T14:02:20.583Z,2023-02-19T22:55:11Z,,,,,,,,,,,,,,,,,,,,,,,,,9irgn82qm11logbhup51rg5wp,D. Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509866175,34,1,1,2,15,z1wbqtd0fz5t5eezjvrbld3h,0,34.2,4.7,2023-02-19T14:02:21.690Z,2023-02-19T22:55:10Z,4043546051,212,12.7,4043546053,213,0.5,4043546045,56,Back,4044947091,178,,4043546047,140,44.8,4043546049,141,13.8,,,,,,,9irgn82qm11logbhup51rg5wp,D. Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510044677,768,49,1,2,16,17o35s8assv3kamxowzz77k4r,1,54.5,88.4,2023-02-19T14:02:22.680Z,2023-02-19T22:55:10Z,,,,,,,,,,,,,,,,,,,,,,,,,aflbpdgjm6huba3f9t848d4o9,Y. Magnin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509866741,20,1,1,2,16,17o35s8assv3kamxowzz77k4r,1,54.5,88.4,2023-02-19T14:02:22.692Z,2023-02-19T22:55:09Z,4044947411,178,,4043548673,212,8.4,4043548671,141,90.0,4043548675,213,0.1,4043548669,140,62.4,4043548667,56,Left,,,,,,,aflbpdgjm6huba3f9t848d4o9,Y. Magnin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509866223,16,1,1,2,17,17o35s8assv3kamxowzz77k4r,1,57.2,94,2023-02-19T14:02:24.296Z,2023-02-19T22:55:08Z,4043546287,213,5.8,4043546279,56,Left,4043546285,212,3.8,4043546281,140,60.4,4043546283,141,91.4,4044947591,178,,,,,,,,237j1qagaotsy5j9wo3xqfgtl,Neto Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509866233,17,1,1,2,18,17o35s8assv3kamxowzz77k4r,0,53.6,96.2,2023-02-19T14:02:25.241Z,2023-02-19T22:55:07Z,4043546333,141,91.4,4043546335,212,20.8,4043546331,140,73.2,4043546329,56,Left,4044947733,178,,4043546337,213,6.1,,,,,,,aflbpdgjm6huba3f9t848d4o9,Y. Magnin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
