id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,assist,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/15/value,qualifier/16/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value
2469637281,16,1,1,1,33,bx0cdmzr2gwr70ez72dorx82p,1,99.5,0.5,2022-10-09T13:01:40.089Z,2022-10-09T19:36:32Z,3833371127,178,,3831511471,140,95.2,3831511467,6,,3831511477,212,5.1,3831511481,213,2.6,3831511473,141,4.1,3831511469,56,Right,,,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469637405,17,1,1,1,35,bx0cdmzr2gwr70ez72dorx82p,1,98,7.3,2022-10-09T13:01:42.377Z,2022-10-09T23:45:44Z,3831512093,2,,3831517481,210,16,3832448207,20,,3833372241,178,,3831517489,25,,3832448203,224,,3831512097,155,,3831512111,141,43.0,ct32113pfx5q9avf2c0x208ru,S. Diop,3831512117,213,3831512103,56,3831517485,154,,1,1.9,Center,3831512115,212,25.3,3831512107,140,91.2,,,,,,,,,,,,,,,,,,,,,,,,
2469637411,18,16,1,1,37,bx0cdmzr2gwr70ez72dorx82p,1,92.2,42.9,2022-10-09T13:01:44.029Z,2022-10-09T23:45:43Z,3831517641,231,46.5,3831517631,55,17,3831517639,230,98.4,3831517625,29,,3831512137,56,Center,3831512133,17,,3831515575,15,,3831515585,375,01:36.583,2e0ipswbkv4vf7lav6ee1j3oq,M. Viti,3832450321,395,3831517637,103,3831515571,25,,,98.5,20.9,3831515579,328,,3832450325,396,47.6,3831515581,374,2022-10-09 14:01:43.581,3833373319,388,3831517621,81,3831517629,154,3831517635,102,46.1,,,,,,,,,,,,
2469638469,19,1,1,2,29,3unkqo2g6ag99gd5ynz1j7vse,1,50.2,50,2022-10-09T13:02:36.699Z,2022-10-09T19:37:12Z,3831583645,189,,3831517305,279,G,3831517301,212,11.6,3831517295,56,Back,3831517299,141,52.8,3833374733,178,,3831517297,140,39.3,3831517303,213,3.0,bj37ny1s1gbbe4wrgyz1wag9h,Mama Baldé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638541,20,1,1,2,30,3unkqo2g6ag99gd5ynz1j7vse,1,41.3,48.8,2022-10-09T13:02:37.811Z,2022-10-09T23:45:41Z,3831517679,56,Back,3831517687,213,4.7,3831517683,141,4.0,3831517685,212,30.5,3833374403,178,,3831517681,140,40.3,,,,,,,5x4cp16m9z8vzgq1kkjvm71ed,F. Tardieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638581,22,1,1,2,33,3unkqo2g6ag99gd5ynz1j7vse,1,38.7,5.8,2022-10-09T13:02:40.553Z,2022-10-09T23:45:40Z,3831517901,212,18.5,3831517895,56,Back,3833375143,178,,3831517899,141,26.2,3831517903,213,2.3,3831517897,140,27.1,,,,,,,dj2f6zk2cd8u9lt6odoei9cdl,A. Bruus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638557,21,43,1,2,34,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2022-10-09T13:02:41.675Z,2022-10-09T13:14:46Z,3831601319,144,1,3831517773,212,19.8,3831517769,140,41.2,3831517767,56,Back,3831517771,141,4.9,3831517775,213,4.8,,,,,,,3h3g7sne1jjevj0mwyliehm95,R. Kouamé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638605,23,1,1,2,36,3unkqo2g6ag99gd5ynz1j7vse,0,27.5,25.4,2022-10-09T13:02:43.276Z,2022-10-09T23:45:40Z,3831518025,213,1.3,3831518021,141,64.5,3831518023,212,27.3,3831518019,140,33.3,3831518017,56,Back,3833375541,178,,,,,,,,7etm5qf3sonimtxllrw5xwkid,E. Palmer-Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638623,19,49,1,2,37,bx0cdmzr2gwr70ez72dorx82p,1,66.3,42.7,2022-10-09T13:02:44.202Z,2022-10-09T23:45:39Z,,,,,,,,,,,,,,,,,,,,,,,,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638649,20,1,1,2,37,bx0cdmzr2gwr70ez72dorx82p,1,66.3,42.7,2022-10-09T13:02:44.332Z,2022-10-09T23:45:39Z,3831518223,56,Center,3831518227,141,48.5,3831518225,140,72.3,3831518229,212,7.4,3831518231,213,0.6,3833376743,178,,,,,,,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470007067,1216,67,1,2,39,bx0cdmzr2gwr70ez72dorx82p,1,70.9,50.7,2022-10-09T13:02:46.311Z,2022-10-09T23:45:38Z,3833510845,233,914,,,,,,,,,,,,,,,,,,,,,,e3kdoxu1kwn2w3wwi1rqhvr9x,A. Delort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470007063,914,67,1,2,39,3unkqo2g6ag99gd5ynz1j7vse,0,29.1,49.3,2022-10-09T13:02:46.312Z,2022-10-09T23:45:38Z,3833510875,233,1216,,,,,,,,,,,,,,,,,,,,,,5x4cp16m9z8vzgq1kkjvm71ed,F. Tardieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638669,21,1,1,2,39,bx0cdmzr2gwr70ez72dorx82p,1,73.3,51.4,2022-10-09T13:02:46.396Z,2022-10-09T23:45:38Z,3831518305,56,Center,3831518309,140,76.1,3833377783,178,,3831518317,212,9.0,3831518321,213,5.0,3831518313,141,38.9,,,,,,,e3kdoxu1kwn2w3wwi1rqhvr9x,A. Delort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638673,22,50,1,2,40,bx0cdmzr2gwr70ez72dorx82p,1,77.4,47.7,2022-10-09T13:02:47.194Z,2022-10-09T23:45:37Z,3831518341,56,Center,3831518503,233,24,3831518343,286,,,,,,,,,,,,,,,,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469815895,745,43,1,2,40,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2022-10-09T13:02:47.251Z,2022-10-09T15:52:12Z,3832458863,144,61,3832457403,56,Back,,,,,,,,,,,,,,,,,,,9bkzl4dx3mci3w86rjpfkwowk,W. Odobert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638701,24,7,1,2,40,3unkqo2g6ag99gd5ynz1j7vse,0,22.6,52.3,2022-10-09T13:02:47.394Z,2022-10-09T23:45:37Z,3831518453,56,Back,3831518455,285,,3831518487,233,22,3833378533,178,,3832455867,385,,,,,,,,,,,eznhm6o1jymvzaucjlngbaad,Y. Salmier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469816491,945,61,1,2,40,bx0cdmzr2gwr70ez72dorx82p,1,77,47.6,2022-10-09T13:02:47.532Z,2022-10-09T23:45:36Z,3833378843,178,,3832460665,56,Center,,,,,,,,,,,,,,,,,,,3n9jnuteyjx6w6dxviuead0b9,N. Pépé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
