id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,assist,qualifier/18/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2497648279,19,50,1,0,52,be2k34rut1lz79jxenabttqlc,1,16.9,90.3,2023-01-15T12:01:13.946Z,2023-01-15T22:35:07Z,3979364607,233,3,3979364555,285,,3979364553,56,Back,,,,,,,,,,,,,,,,31sljkjull0n7082fed26stzp,B. André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648281,3,7,1,0,52,3unkqo2g6ag99gd5ynz1j7vse,0,83.1,9.7,2023-01-15T12:01:14.059Z,2023-01-15T22:35:06Z,3979886811,385,,3979364559,286,,3980507093,178,,3979364557,56,Right,3979364577,233,19,,,,,,,,,,9nhlgi0k783bq8a2704bu6n6d,X. Chavalerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497655677,193,61,1,0,52,be2k34rut1lz79jxenabttqlc,1,18.3,92.9,2023-01-15T12:01:14.310Z,2023-01-15T22:35:06Z,3980507349,178,,3979405841,56,Back,,,,,,,,,,,,,,,,,,,31sljkjull0n7082fed26stzp,B. André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648303,4,50,1,0,53,3unkqo2g6ag99gd5ynz1j7vse,1,78.6,1.1,2023-01-15T12:01:15.399Z,2023-01-15T22:09:10Z,3979364793,233,20,3979364699,286,,3979364697,56,Right,,,,,,,,,,,,,,,,5x4cp16m9z8vzgq1kkjvm71ed,F. Tardieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648321,20,7,1,0,53,be2k34rut1lz79jxenabttqlc,0,21.4,98.9,2023-01-15T12:01:15.516Z,2023-01-15T22:09:11Z,3979364771,285,,3980507839,178,,3979364769,56,Back,3979888639,385,,3979364785,233,4,,,,,,,,,,e5xxqwz0sdlwkkmp8bgs1k6w9,T. Weah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648305,5,61,1,0,53,3unkqo2g6ag99gd5ynz1j7vse,1,77.5,4.5,2023-01-15T12:01:15.580Z,2023-01-15T22:35:05Z,3980508037,178,,3979364703,56,Right,,,,,,,,,,,,,,,,,,,5x4cp16m9z8vzgq1kkjvm71ed,F. Tardieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648335,6,5,1,0,55,3unkqo2g6ag99gd5ynz1j7vse,0,73.8,-1.4,2023-01-15T12:01:16.916Z,2023-01-15T18:19:28Z,3979366313,233,21,3979364845,347,,3979383165,361,,3979364843,56,Right,,,,,,,,,,,,,5x4cp16m9z8vzgq1kkjvm71ed,F. Tardieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648339,21,5,1,0,55,be2k34rut1lz79jxenabttqlc,1,26.2,101.4,2023-01-15T12:01:16.916Z,2023-01-15T18:19:28Z,3979364855,347,,3979366305,233,6,3979364853,56,Back,,,,,,,,,,,,,,,,efcz85z2tvggsucnvivkmsxyh,M. Bayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648445,22,1,1,1,9,be2k34rut1lz79jxenabttqlc,1,28.1,100,2023-01-15T12:01:31.426Z,2023-01-15T22:35:05Z,3979365379,56,Back,3979365383,141,94.1,3979365387,213,6.0,3979365385,212,17.0,3979365381,140,43.6,3979365377,107,,,,,,,,e5xxqwz0sdlwkkmp8bgs1k6w9,T. Weah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497652289,136,44,1,1,11,be2k34rut1lz79jxenabttqlc,1,42.2,95.9,2023-01-15T12:01:33.034Z,2023-01-15T22:35:04Z,3979386977,56,Back,3979386979,285,,3979387023,233,7,,,,,,,,,,,,,,,,efcz85z2tvggsucnvivkmsxyh,M. Bayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
