id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/8/value,qualifier/13/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value
2479062857,14,1,1,0,48,27xvwccz8kpmqsefjv2b2sc0o,1,38.9,31.6,2022-10-29T19:01:30.618Z,2022-10-30T03:22:42Z,3881504383,213,5.0,3881504381,212,17.7,3882134819,178,,3881504373,56,Back,3881504377,140,44.4,3881504379,141,7.0,,,,,,,asvqr3i5wcjiajxipt1qvldyh,M. Guendouzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062873,15,1,1,0,50,27xvwccz8kpmqsefjv2b2sc0o,1,48,4.3,2022-10-29T19:01:32.942Z,2022-10-30T03:22:42Z,3881504485,212,11.3,3881504483,141,11.3,3881504487,213,2.7,3881504481,140,38.2,3881504479,56,Back,3882134895,178,,,,,,,,bb5eekaj9i0dbckrkb629qg2d,C. Mbemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062879,16,1,1,0,53,27xvwccz8kpmqsefjv2b2sc0o,1,38.6,6.4,2022-10-29T19:01:35.910Z,2022-10-30T03:22:41Z,3881504511,155,,3881504513,56,Center,3881504517,141,25.1,3881504521,213,0.4,3881504519,212,30.8,3881504515,140,65.3,3882135011,178,,,,,asvqr3i5wcjiajxipt1qvldyh,M. Guendouzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062897,17,1,1,0,54,27xvwccz8kpmqsefjv2b2sc0o,1,57.7,25.3,2022-10-29T19:01:37.503Z,2022-10-30T03:22:41Z,3882135287,388,,3882135289,21,,3881504671,56,Center,3881504679,213,0.4,3881504677,212,2.1,3881504673,140,59.5,3881504675,141,26.5,,,,8vlfwoquq3v68mb9ax1pk5fkk,B. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062903,18,1,1,0,55,27xvwccz8kpmqsefjv2b2sc0o,1,53.8,30.3,2022-10-29T19:01:38.242Z,2022-10-30T03:22:40Z,3882135391,388,,3881641195,212,11.1,3881641187,3,,3881641197,213,2.8,3881641193,141,36.3,3881641189,56,Back,3881641191,140,44.0,,,,cip5lla8zu8gru2m4popsstlh,C. Ünder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062923,19,1,1,0,57,27xvwccz8kpmqsefjv2b2sc0o,1,47.9,28.2,2022-10-29T19:01:40.402Z,2022-10-30T03:22:39Z,3881504823,141,5.5,3881504827,213,4.4,3881504819,56,Back,3881504821,140,43.4,3881504825,212,16.1,3882135521,178,,,,,,,,5fbnkkf1saix4lonwx1i9k7o5,J. Veretout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062951,20,1,1,1,0,27xvwccz8kpmqsefjv2b2sc0o,1,42.5,4.6,2022-10-29T19:01:43.421Z,2022-10-30T03:22:38Z,3882135621,178,,3881504953,141,31.1,3881504957,213,2.3,3881504949,56,Back,3881504951,140,27.1,3881504955,212,24.2,,,,,,,bb5eekaj9i0dbckrkb629qg2d,C. Mbemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062985,21,1,1,1,3,27xvwccz8kpmqsefjv2b2sc0o,1,28.4,31.5,2022-10-29T19:01:46.167Z,2022-10-30T03:22:38Z,3881505147,140,31.9,3881505151,212,31.6,3881505149,141,77.7,3882135707,178,,3881505153,213,1.5,3881505145,56,Back,,,,,,,74edqcuzfzy7nswqzn0v3pe22,L. Balerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479062997,22,1,1,1,7,27xvwccz8kpmqsefjv2b2sc0o,1,40.4,81.1,2022-10-29T19:01:49.819Z,2022-10-30T03:22:37Z,3881505237,213,0.7,3881505233,141,94.4,3881505231,140,51.3,3881505235,212,14.6,3881505229,56,Left,3882135797,178,,,,,,,,9j742o5vdc7d54x1xdz4t9ck5,S. Kolašinac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479063005,23,1,1,1,9,27xvwccz8kpmqsefjv2b2sc0o,1,49.3,91.3,2022-10-29T19:01:51.645Z,2022-10-30T03:22:36Z,3882135905,178,,3881505297,213,3.4,3881505293,141,86.0,3881505289,56,Back,3881505291,140,34.0,3881505295,212,16.5,,,,,,,26mggguhavwmnq1oak12ket,D. Payet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
