id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/13/value,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId
2490083557,9,1,1,0,19,axvm5zg0mk4bp06wpec9vw27e,0,26.1,66.7,2022-12-10T13:31:08.720Z,2022-12-10T13:31:13Z,3939338947,140,80.5,3939338955,1,,3939338953,213,0.1,3939338943,155,,3939338951,212,57.3,3939338945,56,Center,3939338949,141,72.6,,,,4x3fxr67fofstbqjpkoxra7rp,E. Tyryshkina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083567,3,1,1,0,24,86c88s72zckr0kdwv0mu7kn3d,1,20.5,34.5,2022-12-10T13:31:13.607Z,2022-12-10T13:31:15Z,3939339013,56,Back,3939339015,140,20.8,3939339017,141,11.4,3939339021,213,4.7,3939339019,212,15.7,,,,,,,,,,dq65c3jm6mlu3mzug9b0z3ytw,B. Demehin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083571,4,49,1,0,26,86c88s72zckr0kdwv0mu7kn3d,1,23.5,21.5,2022-12-10T13:31:15.415Z,2022-12-10T13:31:15Z,,,,,,,,,,,,,,,,,,,,,,,,,dpyv59tmgrenfals4e16d5lre,M. Doucouré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083613,5,1,1,0,28,86c88s72zckr0kdwv0mu7kn3d,1,29.7,23,2022-12-10T13:31:17.768Z,2022-12-10T13:31:20Z,3939339241,56,Back,3939339247,212,17.3,3939339249,213,1.1,3939339243,140,37.2,3939339245,141,45.7,,,,,,,,,,dpyv59tmgrenfals4e16d5lre,M. Doucouré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083645,6,1,1,0,30,86c88s72zckr0kdwv0mu7kn3d,1,37.2,49.3,2022-12-10T13:31:19.944Z,2022-12-10T13:31:24Z,3939339385,212,26.4,3939339379,56,Back,3939339383,141,84.2,3939339387,213,2.0,3939339381,140,26.1,,,,,,,,,,4jxsimbrhvzfwfc3krnld59wq,M. Dumornay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083659,7,1,1,0,34,86c88s72zckr0kdwv0mu7kn3d,1,28,87.4,2022-12-10T13:31:23.911Z,2022-12-10T13:31:27Z,3939339461,141,81.8,3939339457,56,Back,3939339459,140,46.6,3939339465,213,6.1,3939339463,212,19.9,,,,,,,,,,2o9qsqvvvl3x6oeacd8iugbv8,L. Notel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083689,8,1,1,0,38,86c88s72zckr0kdwv0mu7kn3d,1,42.6,83.3,2022-12-10T13:31:27.496Z,2022-12-10T13:31:30Z,3939339599,56,Back,3939339603,141,96.6,3939339605,212,11.3,3939339601,140,49.1,3939339607,213,0.9,,,,,,,,,,uspe8sp6q4a5o6kc9n6rnyp6,L. Joly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083691,9,43,1,0,41,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2022-12-10T13:31:30.343Z,2022-12-10T13:31:34Z,3939339765,144,49,,,,,,,,,,,,,,,,,,,,,,2o9qsqvvvl3x6oeacd8iugbv8,L. Notel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083701,10,1,1,0,41,86c88s72zckr0kdwv0mu7kn3d,0,49.1,96.6,2022-12-10T13:31:30.951Z,2022-12-10T13:31:32Z,3939339651,56,Left,3939339659,213,6.2,3939339653,140,70.2,3939339655,141,93.2,3939339649,155,,3939339657,212,22.3,,,,,,,2o9qsqvvvl3x6oeacd8iugbv8,L. Notel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083697,10,49,1,0,43,axvm5zg0mk4bp06wpec9vw27e,1,19.4,14.7,2022-12-10T13:31:32.223Z,2022-12-10T13:31:32Z,,,,,,,,,,,,,,,,,,,,,,,,,4x3fxr67fofstbqjpkoxra7rp,E. Tyryshkina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083719,11,1,1,0,44,axvm5zg0mk4bp06wpec9vw27e,0,17.3,12.8,2022-12-10T13:31:33.808Z,2022-12-10T13:31:40Z,3939339789,140,0.0,3939339793,212,21.4,3939339795,213,2.7,3939339787,56,Back,3939339791,141,27.1,,,,,,,,,,f3thho84or4rhnubxrhit9zhl,M. Grec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083723,12,6,1,0,45,axvm5zg0mk4bp06wpec9vw27e,0,0,26,2022-12-10T13:31:35.108Z,2022-12-10T13:31:50Z,3939339807,56,Back,3939339809,73,,3939340493,233,12,,,,,,,,,,,,,,,,f3thho84or4rhnubxrhit9zhl,M. Grec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083789,12,6,1,0,45,86c88s72zckr0kdwv0mu7kn3d,1,100,74,2022-12-10T13:31:35.108Z,2022-12-10T13:39:55Z,3939340227,73,,3939340225,56,Center,3939340475,233,12,,,,,,,,,,,,,,,,2o9qsqvvvl3x6oeacd8iugbv8,L. Notel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083747,11,43,1,0,50,86c88s72zckr0kdwv0mu7kn3d,1,0,0,2022-12-10T13:31:39.367Z,2022-12-10T13:31:43Z,3939339969,346,0,3939340171,144,5,3939339967,56,Center,,,,,,,,,,,,,,,,2o9qsqvvvl3x6oeacd8iugbv8,L. Notel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083945,13,1,1,1,17,86c88s72zckr0kdwv0mu7kn3d,0,99.5,99.5,2022-12-10T13:32:07.191Z,2022-12-10T13:50:54Z,3939341019,140,90.7,3939341029,213,4.4,3939341013,225,,3939341015,56,Center,3939341023,141,52.7,3939341009,155,,3939341033,1,,3939341027,212,33.1,aga4leu1tmnv7kibufwr119be,R. Corboz,3939341003,2,3939341005,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083943,13,44,1,1,22,axvm5zg0mk4bp06wpec9vw27e,1,9.9,51.6,2022-12-10T13:32:11.600Z,2022-12-10T13:32:14Z,3939341107,233,14,3939340999,56,Back,3939341001,285,,,,,,,,,,,,,,,,,4x3fxr67fofstbqjpkoxra7rp,E. Tyryshkina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083953,14,44,1,1,22,86c88s72zckr0kdwv0mu7kn3d,0,90.1,48.4,2022-12-10T13:32:11.601Z,2022-12-10T13:32:14Z,3939341057,286,,3939341055,56,Center,3939341137,233,13,,,,,,,,,,,,,,,,aga4leu1tmnv7kibufwr119be,R. Corboz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083955,14,12,1,1,23,axvm5zg0mk4bp06wpec9vw27e,1,10.5,56,2022-12-10T13:32:12.383Z,2022-12-10T13:51:06Z,3939341069,213,5.3,3939341061,56,Back,3939341067,212,22.9,3939387981,15,,3939341065,141,27.7,3939341063,140,22.3,,,,,,,4x3fxr67fofstbqjpkoxra7rp,E. Tyryshkina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490083989,15,1,1,1,27,86c88s72zckr0kdwv0mu7kn3d,1,80.7,93,2022-12-10T13:32:16.615Z,2022-12-10T13:51:00Z,3939341215,212,9.7,3939341213,141,83.6,3939341217,213,3.9,3939341209,56,Left,3939341211,140,73.7,,,,,,,,,,4rdywd4n4j0cdzfoifpd35ujt,S. Ouchène,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084011,16,1,1,1,28,86c88s72zckr0kdwv0mu7kn3d,1,73.7,83.6,2022-12-10T13:32:17.607Z,2022-12-10T13:32:21Z,3939341351,56,Left,3939341357,212,20.2,3939341359,213,0.0,3939341353,140,92.9,3939341355,141,85.0,,,,,,,,,,aga4leu1tmnv7kibufwr119be,R. Corboz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084015,17,1,1,1,32,86c88s72zckr0kdwv0mu7kn3d,0,91,71.1,2022-12-10T13:32:21.208Z,2022-12-10T13:32:22Z,3939341375,56,Center,3939341381,212,11.5,3939341377,140,89.5,3939341379,141,54.3,3939341383,213,4.6,,,,,,,,,,4rdywd4n4j0cdzfoifpd35ujt,S. Ouchène,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084021,15,8,1,1,34,axvm5zg0mk4bp06wpec9vw27e,1,6.8,50.6,2022-12-10T13:32:23.520Z,2022-12-10T13:32:23Z,3939341417,56,Back,,,,,,,,,,,,,,,,,,,,,,2iu88022lwj2uxr1hn0og7qax,L. Goetsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084043,16,49,1,1,37,axvm5zg0mk4bp06wpec9vw27e,1,19.6,26.5,2022-12-10T13:32:26.895Z,2022-12-10T13:32:27Z,,,,,,,,,,,,,,,,,,,,,,,,,desenv3bwtw96iiwqb1gnvth,R. Lavaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084077,17,1,1,1,37,axvm5zg0mk4bp06wpec9vw27e,1,19.6,26.5,2022-12-10T13:32:27.007Z,2022-12-10T13:32:34Z,3939341749,213,5.2,3939341745,141,7.1,3939341743,140,26.2,3939341741,56,Back,3939341747,212,14.9,,,,,,,,,,desenv3bwtw96iiwqb1gnvth,R. Lavaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084081,18,3,1,1,44,axvm5zg0mk4bp06wpec9vw27e,0,28.6,4.4,2022-12-10T13:32:33.967Z,2022-12-10T13:32:38Z,3939341897,233,18,3939341769,56,Back,3939341771,285,,,,,,,,,,,,,,,,,7ouo3qztrs5lytmtji95oesph,M. Terchoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084099,18,7,1,1,44,86c88s72zckr0kdwv0mu7kn3d,1,71.4,95.6,2022-12-10T13:32:33.968Z,2022-12-10T13:32:37Z,3939341863,286,,3939341893,233,18,3939341861,56,Left,,,,,,,,,,,,,,,,aga4leu1tmnv7kibufwr119be,R. Corboz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084103,19,50,1,1,47,86c88s72zckr0kdwv0mu7kn3d,1,79.8,93.1,2022-12-10T13:32:37.143Z,2022-12-10T13:32:41Z,3939341877,56,Left,3939342065,233,19,3939341879,286,,,,,,,,,,,,,,,,,aga4leu1tmnv7kibufwr119be,R. Corboz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084131,19,7,1,1,47,axvm5zg0mk4bp06wpec9vw27e,1,20.2,6.9,2022-12-10T13:32:37.144Z,2022-12-10T13:32:41Z,3939342021,56,Back,3939342037,233,19,3939342023,285,,,,,,,,,,,,,,,,,f3thho84or4rhnubxrhit9zhl,M. Grec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084149,20,1,1,1,51,axvm5zg0mk4bp06wpec9vw27e,0,22,6.1,2022-12-10T13:32:41.072Z,2022-12-10T13:32:43Z,3939342109,141,8.2,3939342111,212,43.0,3939342103,155,,3939342105,56,Right,3939342115,1,,3939342107,140,62.9,3939342113,213,0.0,,,,7ouo3qztrs5lytmtji95oesph,M. Terchoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084159,20,49,1,1,56,86c88s72zckr0kdwv0mu7kn3d,1,32.3,82.4,2022-12-10T13:32:45.224Z,2022-12-10T13:32:45Z,,,,,,,,,,,,,,,,,,,,,,,,,dq65c3jm6mlu3mzug9b0z3ytw,B. Demehin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084179,21,1,1,1,56,86c88s72zckr0kdwv0mu7kn3d,1,32.4,80.3,2022-12-10T13:32:46.019Z,2022-12-10T13:32:48Z,3939342205,212,15.2,3939342203,141,58.1,3939342199,56,Back,3939342207,213,4.6,3939342201,140,30.4,,,,,,,,,,dq65c3jm6mlu3mzug9b0z3ytw,B. Demehin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084195,22,1,1,1,59,86c88s72zckr0kdwv0mu7kn3d,1,30.2,58.1,2022-12-10T13:32:48.375Z,2022-12-10T13:32:51Z,3939342307,212,18.1,3939342301,56,Back,3939342305,141,84.5,3939342303,140,32.5,3939342309,213,1.4,,,,,,,,,,dvyjggz5eiinhhozhb17s707p,J. Pasquereau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084213,23,1,1,2,1,86c88s72zckr0kdwv0mu7kn3d,1,34.8,88.6,2022-12-10T13:32:51.048Z,2022-12-10T13:32:54Z,3939342381,213,0.9,3939342375,140,40.1,3939342373,56,Back,3939342379,212,8.8,3939342377,141,98.6,,,,,,,,,,dq65c3jm6mlu3mzug9b0z3ytw,B. Demehin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084237,24,1,1,2,5,86c88s72zckr0kdwv0mu7kn3d,1,44.5,94.4,2022-12-10T13:32:54.583Z,2022-12-10T13:33:02Z,3939342517,212,34.6,3939342515,141,51.6,3939342513,140,26.6,3939342519,213,4.1,3939342521,1,,3939342511,56,Back,,,,,,,2o9qsqvvvl3x6oeacd8iugbv8,L. Notel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084251,25,1,1,2,12,86c88s72zckr0kdwv0mu7kn3d,1,30.2,38,2022-12-10T13:33:01.911Z,2022-12-10T13:33:04Z,3939342593,213,1.6,3939342587,140,29.6,3939342589,141,64.0,3939342591,212,17.7,3939342585,56,Back,,,,,,,,,,dvyjggz5eiinhhozhb17s707p,J. Pasquereau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084271,26,1,1,2,15,86c88s72zckr0kdwv0mu7kn3d,1,31,68.4,2022-12-10T13:33:04.295Z,2022-12-10T13:33:06Z,3939342723,212,15.7,3939342725,213,1.4,3939342717,56,Back,3939342721,141,91.2,3939342719,140,33.6,,,,,,,,,,dq65c3jm6mlu3mzug9b0z3ytw,B. Demehin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084291,27,1,1,2,17,86c88s72zckr0kdwv0mu7kn3d,1,37.8,91.5,2022-12-10T13:33:06.647Z,2022-12-10T13:33:10Z,3939342851,140,56.1,3939342849,56,Left,3939342857,213,0.1,3939342855,212,19.3,3939342853,141,94.2,,,,,,,,,,2o9qsqvvvl3x6oeacd8iugbv8,L. Notel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084311,28,1,1,2,20,86c88s72zckr0kdwv0mu7kn3d,1,56.1,94.2,2022-12-10T13:33:09.991Z,2022-12-10T13:33:13Z,3939342967,141,79.9,3939342963,56,Left,3939342965,140,53.8,3939342969,212,10.0,3939342971,213,4.5,,,,,,,,,,4jxsimbrhvzfwfc3krnld59wq,M. Dumornay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084349,29,1,1,2,24,86c88s72zckr0kdwv0mu7kn3d,1,60.3,80.9,2022-12-10T13:33:13.255Z,2022-12-10T13:33:21Z,3939343155,1,,3939343153,213,6.2,3939343147,140,96.3,3939343149,141,75.4,3939343145,56,Center,3939343151,212,38.0,,,,,,,uspe8sp6q4a5o6kc9n6rnyp6,L. Joly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084351,30,50,1,2,30,86c88s72zckr0kdwv0mu7kn3d,1,97.8,75,2022-12-10T13:33:19.422Z,2022-12-10T13:33:25Z,3939343253,233,21,3939343161,286,,3939343159,56,Center,,,,,,,,,,,,,,,,aga4leu1tmnv7kibufwr119be,R. Corboz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084367,21,7,1,2,30,axvm5zg0mk4bp06wpec9vw27e,1,2.2,25,2022-12-10T13:33:19.423Z,2022-12-10T13:33:24Z,3939343221,56,Back,3939343219,167,,3939343229,233,30,3939343223,285,,,,,,,,,,,,,,2iu88022lwj2uxr1hn0og7qax,L. Goetsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084377,22,6,1,2,33,axvm5zg0mk4bp06wpec9vw27e,0,0,22.5,2022-12-10T13:33:22.777Z,2022-12-10T13:39:55Z,3939343283,73,,3939343337,233,31,3939343281,56,Back,,,,,,,,,,,,,,,,2iu88022lwj2uxr1hn0og7qax,L. Goetsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084359,31,6,1,2,33,86c88s72zckr0kdwv0mu7kn3d,1,100,77.5,2022-12-10T13:33:22.777Z,2022-12-10T13:33:25Z,3939343199,56,Center,3939343333,233,22,3939343201,73,,,,,,,,,,,,,,,,,aga4leu1tmnv7kibufwr119be,R. Corboz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084511,32,1,1,2,59,86c88s72zckr0kdwv0mu7kn3d,0,99.5,99.5,2022-12-10T13:33:48.856Z,2022-12-10T13:33:50Z,3939344031,212,32.8,3939344025,56,Center,3939344023,225,,3939344019,6,,3939344029,141,53.9,3939344027,140,89.3,3939344017,2,,3939344021,155,,aga4leu1tmnv7kibufwr119be,R. Corboz,3939344033,213,3939344035,1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084545,23,12,1,3,2,axvm5zg0mk4bp06wpec9vw27e,1,6.2,41.8,2022-12-10T13:33:51.839Z,2022-12-10T13:33:55Z,3939344199,56,Back,3939344207,213,5.7,3939344203,141,13.1,3939344205,212,35.2,3939344221,15,,3939344201,140,34.1,,,,,,,f3thho84or4rhnubxrhit9zhl,M. Grec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084629,33,1,1,3,10,86c88s72zckr0kdwv0mu7kn3d,1,58.6,76.7,2022-12-10T13:33:59.863Z,2022-12-10T13:34:04Z,3939344599,140,70.4,3939344603,212,12.8,3939344605,213,0.3,3939344601,141,81.5,3939344597,56,Left,,,,,,,,,,uspe8sp6q4a5o6kc9n6rnyp6,L. Joly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084633,34,1,1,3,15,86c88s72zckr0kdwv0mu7kn3d,0,70.4,74.1,2022-12-10T13:34:04.744Z,2022-12-10T13:34:06Z,3939344625,141,71.8,3939344623,140,78.9,3939344627,212,9.1,3939344621,56,Center,3939344629,213,6.1,,,,,,,,,,4jxsimbrhvzfwfc3krnld59wq,M. Dumornay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084643,24,8,1,3,18,axvm5zg0mk4bp06wpec9vw27e,1,20.1,30.9,2022-12-10T13:34:07.232Z,2022-12-10T13:34:07Z,3939344685,56,Back,,,,,,,,,,,,,,,,,,,,,,2iu88022lwj2uxr1hn0og7qax,L. Goetsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084653,25,49,1,3,20,axvm5zg0mk4bp06wpec9vw27e,1,29.2,25.3,2022-12-10T13:34:09.455Z,2022-12-10T13:34:09Z,,,,,,,,,,,,,,,,,,,,,,,,,7ouo3qztrs5lytmtji95oesph,M. Terchoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490084673,26,61,1,3,22,axvm5zg0mk4bp06wpec9vw27e,0,28,26.4,2022-12-10T13:34:12.018Z,2022-12-10T13:34:12Z,3939344817,56,Back,,,,,,,,,,,,,,,,,,,,,,7ouo3qztrs5lytmtji95oesph,M. Terchoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
