id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/14/value,qualifier/12/value
2478349377,7,1,1,0,13,bdfjkux9o0vtsdig5zsbhtysq,1,58.5,94.2,2022-10-28T19:00:34.125Z,2022-10-28T19:00:35Z,3877691509,140,60.0,3877691513,212,9.0,3877691511,141,81.2,3877691507,56,Left,3877691515,213,4.9,,,,,,,,,,1rsg1y7lx0ruqcwgj6c6oovdh,O. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349401,8,1,1,0,14,bdfjkux9o0vtsdig5zsbhtysq,1,60,81.2,2022-10-28T19:00:35.005Z,2022-10-28T19:00:37Z,3877691655,56,Left,3877691663,213,0.4,3877691661,212,17.4,3877691657,140,75.4,3877691659,141,90.8,,,,,,,,,,1ck8f8510t6ei80haqe2vqbpx,G. Thiney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349421,9,1,1,0,17,bdfjkux9o0vtsdig5zsbhtysq,1,64.6,91.8,2022-10-28T19:00:37.837Z,2022-10-28T19:00:39Z,3877691731,140,61.3,3877691729,56,Left,3877691733,141,98.0,3877691735,212,5.5,3877691737,213,2.3,,,,,,,,,,1rsg1y7lx0ruqcwgj6c6oovdh,O. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349459,10,1,1,0,18,bdfjkux9o0vtsdig5zsbhtysq,1,61.3,98,2022-10-28T19:00:38.958Z,2022-10-28T19:00:42Z,3877691919,212,10.6,3877691921,213,5.2,3877691917,141,84.2,3877691913,56,Left,3877691915,140,66.0,,,,,,,,,,1ck8f8510t6ei80haqe2vqbpx,G. Thiney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349471,11,1,1,0,21,bdfjkux9o0vtsdig5zsbhtysq,0,65.9,89.9,2022-10-28T19:00:42.236Z,2022-10-28T19:00:46Z,3877692003,213,0.0,3877691999,141,90.0,3877691995,56,Left,3877692175,236,,3877692181,286,,3877691997,140,68.2,3877692001,212,2.4,3877692177,233,5,3uxijnhp1ibbqm6e4lfivq8k5,C. Matéo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349499,5,74,1,0,21,2w4xxgpg4t4h5b3yl74egastz,1,32,11.1,2022-10-28T19:00:42.237Z,2022-10-28T19:05:40Z,3877692157,285,,3877692183,233,11,3877692155,56,Back,,,,,,,,,,,,,,,,ao9cgwud5le6r07itko3j4y51,C. Boureille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349511,6,49,1,0,26,2w4xxgpg4t4h5b3yl74egastz,1,28.3,3.5,2022-10-28T19:00:46.887Z,2022-10-28T19:00:47Z,,,,,,,,,,,,,,,,,,,,,,,,,757os3ykn2cuocj7tr4dqnw89,M. Lakrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349541,7,1,1,0,26,2w4xxgpg4t4h5b3yl74egastz,0,28.3,3.5,2022-10-28T19:00:46.967Z,2022-10-28T19:00:48Z,3877692287,1,,3877692275,140,73.9,3877692271,157,,3877692273,56,Right,3877692277,141,10.6,3877692283,213,0.1,3877692279,212,48.1,,,,757os3ykn2cuocj7tr4dqnw89,M. Lakrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349561,12,1,1,0,27,bdfjkux9o0vtsdig5zsbhtysq,1,27.4,82.6,2022-10-28T19:00:48.030Z,2022-10-28T19:00:49Z,3877692359,140,33.3,3877692361,141,95.3,3877692357,56,Back,3877692355,3,,3877692363,212,10.6,3877692365,213,0.9,,,,,,,1mhjq24kq1fapaoib7lzb6b4l,T. Greboval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349565,13,49,1,0,28,bdfjkux9o0vtsdig5zsbhtysq,1,29.8,94.8,2022-10-28T19:00:49.117Z,2022-10-28T19:00:49Z,,,,,,,,,,,,,,,,,,,,,,,,,ehchjemv9fwcnwomosua92qqd,E. Aigbogun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349619,14,1,1,0,28,bdfjkux9o0vtsdig5zsbhtysq,1,29.8,94.8,2022-10-28T19:00:49.181Z,2022-10-28T19:00:53Z,3877692629,56,Back,3877692631,140,31.9,3877692637,213,5.0,3877692633,141,81.7,3877692635,212,9.2,,,,,,,,,,ehchjemv9fwcnwomosua92qqd,E. Aigbogun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349653,15,1,1,0,33,bdfjkux9o0vtsdig5zsbhtysq,1,42.6,60.8,2022-10-28T19:00:53.853Z,2022-10-28T19:00:57Z,3877692799,141,37.9,3877692809,213,4.7,3877692797,140,42.0,3877692803,212,15.6,3877692795,56,Back,,,,,,,,,,8iblvy7aw7kdghvke6s5gisid,A. Butel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349671,16,1,1,0,36,bdfjkux9o0vtsdig5zsbhtysq,1,42.5,36.7,2022-10-28T19:00:57.277Z,2022-10-28T19:00:58Z,3877692891,56,Back,3877692895,141,9.2,3877692901,213,4.5,3877692893,140,38.1,3877692897,212,19.3,,,,,,,,,,7l931hwm1tajvf6r717biyw2d,S. Vaysse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349683,17,1,1,0,38,bdfjkux9o0vtsdig5zsbhtysq,0,38.9,8.9,2022-10-28T19:00:58.606Z,2022-10-28T19:01:00Z,3877692951,140,62.3,3877692953,141,1.0,3877692949,56,Right,3877692955,212,25.2,3877692957,213,6.1,,,,,,,,,,dx5okwmzef2p09vgp02i1ucph,J. Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349719,8,49,1,0,43,2w4xxgpg4t4h5b3yl74egastz,1,30.5,96.8,2022-10-28T19:01:04.215Z,2022-10-28T19:01:04Z,,,,,,,,,,,,,,,,,,,,,,,,,19awb0feelm6k12ooavqb5621,O. Deslandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349725,9,1,1,0,43,2w4xxgpg4t4h5b3yl74egastz,0,30.5,96.8,2022-10-28T19:01:04.439Z,2022-10-28T19:01:05Z,3877693131,56,Back,3877693141,1,,3877693129,157,,3877693139,213,0.2,3877693135,141,100.0,3877693133,140,46.7,3877693137,212,17.3,,,,19awb0feelm6k12ooavqb5621,O. Deslandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349729,10,5,1,0,44,2w4xxgpg4t4h5b3yl74egastz,0,46.2,101.1,2022-10-28T19:01:04.834Z,2022-10-28T19:06:33Z,3877693157,347,,3877693185,233,18,3877693155,56,Back,,,,,,,,,,,,,,,,19awb0feelm6k12ooavqb5621,O. Deslandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349717,18,5,1,0,44,bdfjkux9o0vtsdig5zsbhtysq,1,53.8,-1.1,2022-10-28T19:01:04.834Z,2022-10-28T19:02:38Z,3877693167,233,10,3877693091,56,Right,3877693093,347,,,,,,,,,,,,,,,,,dx5okwmzef2p09vgp02i1ucph,J. Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349833,19,1,1,0,53,bdfjkux9o0vtsdig5zsbhtysq,0,54.4,0,2022-10-28T19:01:14.029Z,2022-10-28T19:01:16Z,3877693677,212,20.0,3877693679,213,0.2,3877693675,141,4.7,3877693669,107,,3877693673,140,73.1,3877693671,56,Right,,,,,,,dx5okwmzef2p09vgp02i1ucph,J. Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349851,11,8,1,0,56,2w4xxgpg4t4h5b3yl74egastz,1,28.7,98,2022-10-28T19:01:17.414Z,2022-10-28T19:01:17Z,3877693765,56,Back,,,,,,,,,,,,,,,,,,,,,,19awb0feelm6k12ooavqb5621,O. Deslandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349859,12,5,1,0,57,2w4xxgpg4t4h5b3yl74egastz,0,33,101.2,2022-10-28T19:01:17.895Z,2022-10-28T19:01:27Z,3877694459,233,20,3877693793,347,,3877693791,56,Back,,,,,,,,,,,,,,,,19awb0feelm6k12ooavqb5621,O. Deslandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349971,20,5,1,0,57,bdfjkux9o0vtsdig5zsbhtysq,1,67,-1.2,2022-10-28T19:01:17.895Z,2022-10-28T19:06:33Z,3877694387,347,,3877694441,233,12,3877694385,56,Right,,,,,,,,,,,,,,,,dx5okwmzef2p09vgp02i1ucph,J. Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350001,21,1,1,1,6,bdfjkux9o0vtsdig5zsbhtysq,1,66.7,0,2022-10-28T19:01:27.101Z,2022-10-28T19:01:28Z,3877694519,107,,3877694529,213,0.9,3877694521,56,Right,3877694527,212,6.5,3877694525,141,5.9,3877694523,140,70.6,,,,,,,dx5okwmzef2p09vgp02i1ucph,J. Soyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350009,22,3,1,1,8,bdfjkux9o0vtsdig5zsbhtysq,0,70.2,5.6,2022-10-28T19:01:28.846Z,2022-10-28T19:01:31Z,3877694703,233,13,3877694547,56,Right,3877694553,286,,,,,,,,,,,,,,,,,3uxijnhp1ibbqm6e4lfivq8k5,C. Matéo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350021,13,7,1,1,8,2w4xxgpg4t4h5b3yl74egastz,0,29.8,94.4,2022-10-28T19:01:28.847Z,2022-10-28T19:01:30Z,3877694629,285,,3877694667,233,22,3877694627,56,Back,,,,,,,,,,,,,,,,ao9cgwud5le6r07itko3j4y51,C. Boureille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350059,23,1,1,1,13,bdfjkux9o0vtsdig5zsbhtysq,0,77.9,23.1,2022-10-28T19:01:34.206Z,2022-10-28T19:05:52Z,3877709733,212,11.1,3877709731,141,34.5,3877709735,213,0.8,3877709729,140,85.5,3877713657,2,,3877694851,56,Center,3877709727,155,,,,,3uxijnhp1ibbqm6e4lfivq8k5,C. Matéo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350143,15,12,1,1,16,2w4xxgpg4t4h5b3yl74egastz,1,12.5,69.5,2022-10-28T19:01:36.742Z,2022-10-28T19:06:58Z,3877714851,213,5.1,3877714847,141,28.3,3877695295,56,Back,3877714849,212,30.5,3877714845,140,23.9,,,,,,,,,,757os3ykn2cuocj7tr4dqnw89,M. Lakrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350107,14,43,1,1,17,2w4xxgpg4t4h5b3yl74egastz,1,0,0,2022-10-28T19:01:37.528Z,2022-10-28T19:01:45Z,3877695091,3,0,3877695643,144,1,3877695099,212,17.0,3877695093,56,Back,3877695095,140,18.4,3877695101,213,5.3,3877695097,141,35.5,,,,7n7ebty9p63lyd49l0jcs1z9x,L. Gevitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350133,24,13,1,1,19,bdfjkux9o0vtsdig5zsbhtysq,1,78.8,67.2,2022-10-28T19:01:39.692Z,2022-10-28T19:01:59Z,3877696615,215,,3877695247,22,,3877696617,458,,3877696621,231,50.7,3877696611,102,44.5,3877695251,56,Center,3877696609,85,,3877696613,103,51.4,7ak0q2t9ex8rcov81012amuad,C. Sow,3877696139,20,3877695249,18,3877696619,230,98.1,,,,,,,,,,,,,,,,,,,,,,
2478350245,16,5,1,1,20,2w4xxgpg4t4h5b3yl74egastz,1,-1.7,62.2,2022-10-28T19:01:41.182Z,2022-10-28T19:06:34Z,3877695763,56,Back,3877717433,233,25,3877695765,346,,,,,,,,,,,,,,,,,757os3ykn2cuocj7tr4dqnw89,M. Lakrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350151,25,5,1,1,20,bdfjkux9o0vtsdig5zsbhtysq,0,101.7,37.8,2022-10-28T19:01:41.182Z,2022-10-28T19:06:34Z,3877695327,346,,3877717441,233,16,3877695325,56,Center,,,,,,,,,,,,,,,,7ak0q2t9ex8rcov81012amuad,C. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350553,17,1,1,1,48,2w4xxgpg4t4h5b3yl74egastz,0,5.1,57.3,2022-10-28T19:02:09.030Z,2022-10-28T19:03:40Z,3877697391,213,6.2,3877697385,140,68.5,3877697383,56,Center,3877703399,1,,3877697387,141,49.9,3877697393,74,,3877697381,124,,3877697389,212,66.8,eysw04bv1brzlph7v3w06sm39,L. Schmitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350597,26,49,1,1,53,bdfjkux9o0vtsdig5zsbhtysq,1,33,52.8,2022-10-28T19:02:13.582Z,2022-10-28T19:03:37Z,,,,,,,,,,,,,,,,,,,,,,,,,1mhjq24kq1fapaoib7lzb6b4l,T. Greboval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350621,27,1,1,1,53,bdfjkux9o0vtsdig5zsbhtysq,0,33,52.8,2022-10-28T19:02:14.014Z,2022-10-28T19:02:14Z,3877697665,212,28.9,3877697653,157,,3877697655,56,Center,3877697673,1,,3877697661,141,53.6,3877697659,140,60.5,3877697669,213,0.0,,,,1mhjq24kq1fapaoib7lzb6b4l,T. Greboval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350679,18,1,1,1,55,2w4xxgpg4t4h5b3yl74egastz,0,36.4,47,2022-10-28T19:02:16.023Z,2022-10-28T19:02:18Z,3877697967,141,55.1,3877697971,213,0.5,3877697969,212,11.0,3877697965,140,45.5,3877697961,3,,3877697963,56,Back,,,,,,,7n7ebty9p63lyd49l0jcs1z9x,L. Gevitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350675,28,43,1,1,57,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-10-28T19:02:17.950Z,2022-10-28T19:02:24Z,3877698465,144,8,3877697947,56,Back,,,,,,,,,,,,,,,,,,,3uxijnhp1ibbqm6e4lfivq8k5,C. Matéo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350767,19,4,1,2,0,2w4xxgpg4t4h5b3yl74egastz,1,48,54,2022-10-28T19:02:21.293Z,2022-10-28T19:02:24Z,3877698501,233,29,3877698491,56,Back,3877698489,13,,3877698497,286,,3877698495,265,,3877698493,152,,,,,,,,eku11vja5c7dk4ijb1kzjjeuh,L. Khelifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350749,29,4,1,2,0,bdfjkux9o0vtsdig5zsbhtysq,0,52,46,2022-10-28T19:02:21.294Z,2022-10-28T19:02:25Z,3877698371,56,Center,3877698527,233,19,3877698369,13,,3877698377,285,,3877698373,152,,3877698375,265,,,,,,,,7l931hwm1tajvf6r717biyw2d,S. Vaysse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478351039,20,1,1,2,30,2w4xxgpg4t4h5b3yl74egastz,0,47.5,53.6,2022-10-28T19:02:50.567Z,2022-10-28T19:02:52Z,3877700087,141,16.1,3877700085,140,96.5,3877700091,213,5.8,3877700083,56,Right,3877700079,5,,3877700089,212,57.4,3877700093,1,,3877700101,189,,ao9cgwud5le6r07itko3j4y51,C. Boureille,3877700081,152,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478351063,30,49,1,2,33,bdfjkux9o0vtsdig5zsbhtysq,1,0.3,96.8,2022-10-28T19:02:54.270Z,2022-10-28T19:02:54Z,,,,,,,,,,,,,,,,,,,,,,,,,1rsg1y7lx0ruqcwgj6c6oovdh,O. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478351091,31,1,1,2,33,bdfjkux9o0vtsdig5zsbhtysq,0,0.3,96.8,2022-10-28T19:02:54.462Z,2022-10-28T19:03:34Z,3877700399,212,22.6,3877700397,141,92.4,3877700401,213,6.2,3877700393,56,Back,3877700395,140,21.6,,,,,,,,,,1rsg1y7lx0ruqcwgj6c6oovdh,O. Sarr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478351097,32,43,1,2,36,bdfjkux9o0vtsdig5zsbhtysq,1,0,0,2022-10-28T19:02:57.085Z,2022-10-28T19:03:04Z,3877700905,144,50,3877700423,285,0,3877700421,56,Back,,,,,,,,,,,,,,,,7l931hwm1tajvf6r717biyw2d,S. Vaysse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478351117,21,50,1,2,38,2w4xxgpg4t4h5b3yl74egastz,1,82.1,3.7,2022-10-28T19:02:59.175Z,2022-10-28T19:03:02Z,3877700533,286,,3877700531,56,Right,3877700779,233,33,,,,,,,,,,,,,,,,6yh4l888isxggjgd4a6p4ss0l,M. Torrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478351145,33,7,1,2,38,bdfjkux9o0vtsdig5zsbhtysq,1,17.9,96.3,2022-10-28T19:02:59.176Z,2022-10-28T19:03:02Z,3877700689,167,,3877700693,285,,3877700745,233,21,3877700691,56,Back,,,,,,,,,,,,,7l931hwm1tajvf6r717biyw2d,S. Vaysse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478351167,22,5,1,2,41,2w4xxgpg4t4h5b3yl74egastz,1,83.3,-1.5,2022-10-28T19:03:01.582Z,2022-10-28T19:06:34Z,3877700803,56,Right,3877702159,233,34,3877700805,347,,,,,,,,,,,,,,,,,6yh4l888isxggjgd4a6p4ss0l,M. Torrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478351151,34,5,1,2,41,bdfjkux9o0vtsdig5zsbhtysq,0,16.7,101.5,2022-10-28T19:03:01.582Z,2022-10-28T19:03:22Z,3877702175,233,22,3877700715,347,,3877700713,56,Back,,,,,,,,,,,,,,,,7l931hwm1tajvf6r717biyw2d,S. Vaysse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478351237,23,1,1,2,44,2w4xxgpg4t4h5b3yl74egastz,1,83.2,0,2022-10-28T19:03:05.175Z,2022-10-28T19:03:25Z,3877701117,213,1.4,3877701115,212,12.9,3877701113,141,17.1,3877701109,56,Right,3877702271,107,,3877701111,140,85.4,,,,,,,1iy47sqcjh4x0w7bvvno90xxx,F. Robert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478351243,24,3,1,2,46,2w4xxgpg4t4h5b3yl74egastz,0,85.4,17,2022-10-28T19:03:07.415Z,2022-10-28T19:03:08Z,3877701135,56,Right,3877701149,211,,3877701137,286,,,,,,,,,,,,,,,,,6yh4l888isxggjgd4a6p4ss0l,M. Torrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478351247,35,49,1,2,47,bdfjkux9o0vtsdig5zsbhtysq,1,6.4,80,2022-10-28T19:03:08.077Z,2022-10-28T19:03:08Z,,,,,,,,,,,,,,,,,,,,,,,,,1mhjq24kq1fapaoib7lzb6b4l,T. Greboval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478351269,36,1,1,2,49,bdfjkux9o0vtsdig5zsbhtysq,0,3.3,81.1,2022-10-28T19:03:09.871Z,2022-10-28T19:03:10Z,3877701317,212,4.8,3877701319,213,0.3,3877701315,141,83.5,3877701311,56,Back,3877701309,155,,3877701313,140,7.6,,,,,,,1mhjq24kq1fapaoib7lzb6b4l,T. Greboval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478351387,25,8,1,2,56,2w4xxgpg4t4h5b3yl74egastz,1,90.2,13.5,2022-10-28T19:03:17.480Z,2022-10-28T19:03:25Z,3877701897,56,Right,,,,,,,,,,,,,,,,,,,,,,6yh4l888isxggjgd4a6p4ss0l,M. Torrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
